y4_hhid,feafetpf,znafetpf,vaafetpf,folafetpf,vb12afetpf,feafetff,znafetff,vaafetff,folafetff,vb12afetff
1119-001,31.556595698963964,19.904648433102274,411.8640356040736,915.7710911464466,3.1105112786176345,36.253504535481454,26.15824705543699,838.0900304528346,1251.9390305128477,4.6672010644348605
1120-001,20.374555298191076,11.156410649852631,416.25083666436734,417.5593027884801,4.626674217072988,21.59619017948087,12.78293023465562,649.0580559140792,469.2531620646565,5.031558920586178
1121-001,12.965564123404064,9.903885197715994,517.7822022824955,262.4949336025586,9.391435434266562,13.649893833548992,10.815021326080384,1308.771332717278,318.8680598965545,9.618241852486024
1122-001,20.81500316597375,13.02923140558984,497.74837943233985,520.49902256063,5.16217398839838,22.720608836076842,15.566409240641384,824.3463175766699,677.477373076094,5.7937461533468335
1134-001,10.5481575438079,6.057265207277281,268.3252144909081,280.6456143313225,1.1793031865595716,11.488920596016735,7.309824013932473,470.4938891897032,358.1429866778515,1.4910989410059285
1135-001,9.288228848410993,5.610078340820006,204.8148728950713,234.04039520191168,0.958697039913345,9.657596266088637,6.10186467407081,507.4145262746208,264.4678277347168,1.0811159554865066
1136-001,12.290317737131618,8.103602099524728,452.7388406647393,296.12457524688955,3.3751455340229977,13.09050860763953,9.168999087115262,1047.2029745748391,362.04201289970126,3.64035165110562
1137-001,15.87387149862027,12.63281797759421,383.55589155703285,244.58160111253113,16.673661149264607,17.11092104816982,14.279861092137324,827.718053719195,346.48620857713865,17.083654714258174
1139-001,39.25781356763649,16.50749985493631,492.77454901822205,301.45365849598596,3.8019549865232865,41.31494180614097,19.24641916677371,1002.5118867009271,395.1436736052729,4.483746059856202
1140-001,17.273127647966163,9.49873544501701,469.9473869037168,385.2519827622222,3.4249059041697194,18.586161836000354,11.246946678228243,765.651233057563,493.4159876462271,3.8600829493467645
1142-001,24.322032053925046,14.05638532024142,396.25614240434135,559.8994644905129,2.736896169649178,27.65167807162416,18.48957116094938,774.7074698379697,834.1861901542297,3.840435992658028
1152-001,20.986930648532844,9.12562209879276,693.5783516810019,599.9448401922115,1.442692480823614,21.952170374560243,10.410769848303524,1114.8852009960704,679.4585309945599,1.76260050430698
1153-001,18.74806318568063,9.930678929810483,503.3016065627491,266.63096869819674,3.480226950613861,18.74806318568063,9.930678929810483,860.4857649785906,266.63096869819674,3.480226950613861
1154-001,13.79176807438353,10.21221002293586,225.79494551219858,457.1509698233849,1.3771704570845482,14.567788482546796,11.245425766376094,272.7418842877088,521.0773138467085,1.634365792361516
1155-001,33.31759975624427,14.90959530124362,722.5450647910909,546.9956894125179,2.1881180499972737,34.54436502341984,16.542945628397383,1049.279415936129,569.4489631311657,2.5947031099754634
1156-001,14.718253716219952,10.410639015682037,420.0941314966719,400.22957363850617,1.4202265827288632,16.91213126724036,13.331630269326352,928.4104580272841,580.954938069993,2.14734028535277
1158-001,29.875550296412886,17.546002864105198,237.23099017536174,784.6265728588946,0.8242483350982961,32.169128278064264,20.59973811967532,487.96493512949024,784.6265728588946,1.584405609017038
1159-001,44.28532232474974,38.114491586969464,821.4169618911624,980.3886091413923,42.71532476499066,51.22832232474974,47.35860015839803,1402.8363681411624,1552.333111998535,45.01643333641923
1162-001,18.886850228438206,12.282047778341296,308.93347227523753,515.5394550527965,1.670916736677514,20.759572324110188,14.775443482864564,666.4733356009777,646.3530443791876,2.2915903455287996
1171-001,13.458494950669484,8.073541445865835,327.0566132939896,287.99650308300454,0.8258399901817264,13.81679883759528,8.550597478172751,713.7767546367459,317.5125535625603,0.9445921355628469
1172-001,15.197491060653087,9.755553324364287,334.39591087908383,300.3846044190382,2.4537406431534268,15.252950487860724,9.829393590303598,631.2713285401817,304.95319357689704,2.4721214818851007
1173-001,25.346028538651804,15.063137397594746,556.2750150376035,672.8525498586847,2.121882584307061,26.608672216812725,16.744257266231855,1103.8681184858794,776.8655285122151,2.5403587747832512
1174-001,14.152874540839772,9.221157943920076,542.0475337419598,450.6057760530595,3.0912859609999996,15.009877381748863,10.362196012101894,1028.6891246510509,521.2032215076049,3.375321188272727
1175-001,39.25384572184348,21.004459301176627,817.6303122979094,1043.3773644472553,10.593245796248938,40.49146948421972,22.652266939083272,1223.5214014068204,1043.3773644472553,11.00342967177935
1176-001,28.954196047525436,16.85885795202903,770.512955877619,766.4033492968302,4.500781605264188,33.48022344478571,22.88494014380985,1550.2910380694,1139.2445547762823,6.000836399784736
1177-001,16.34819487604162,11.974083868988826,331.45620108009615,374.78449832632816,13.451338989180327,16.599951316322652,12.309279586620141,533.7981214548034,395.52347457256434,13.534778266530612
1179-001,21.69640177584115,17.378716381807337,556.3181311904793,461.86365629505536,26.915105935502392,22.725109909812442,18.748367783037686,1121.0071264057904,546.6056932055134,27.25604920276145
1192-001,53.13186643311534,22.280311428099182,671.9915156928947,771.7801527755336,3.5226516917183677,56.20329500454391,26.369699183201224,1265.9915156928948,1024.7956629796151,4.540610875391837
1193-001,22.902258617270487,15.186357615758746,455.4328348049701,618.6432568438025,5.186457719024804,25.97643444144631,19.279403141661412,882.646021618157,871.8850778799093,6.205327420751648
1194-001,20.55070731584018,11.296981458002694,449.529462350282,563.9698914361762,3.8186577775138373,22.56366543102343,13.977091405646672,771.6320801513292,729.79162965607145,4.48580960997457
1195-001,15.394845654236851,8.82601945098303,351.9986204103122,293.44069330345764,2.7935646257142857,15.394845654236851,8.82601945098303,566.0717274599206,293.44069330345764,2.7935646257142857
1196-001,23.392567652949648,16.66578741432361,405.87096956898193,404.82378608405315,2.110488399570183,26.459428118065926,20.749093062164143,814.6645742201447,507.79521465548174,3.126933582294435
1198-001,18.614002399069047,11.42589615415061,397.94207458161145,488.24479054397665,0.6755550167038801,20.530640723998438,13.9777631810566,1061.4133157278993,556.8292708762193,1.3107837186804785
1201-001,20.833690043184376,13.12653594337487,270.74098339144297,637.0018715029773,1.4994627058797707,23.048347253586268,16.075193829224247,634.5111961574005,819.4390049038554,2.2334633813272546
1209-001,34.512243134589596,16.422860434376275,593.4589499682053,515.4699787790223,3.6997374797461386,36.55631245634276,19.14439273133906,1039.3493984520242,581.2592361597118,4.377200454955759
1210-001,27.067506713288804,17.961866864118093,788.9452206548812,434.5757488660593,15.333167322276589,28.81401369931675,20.2872161655153,1334.5633044872166,434.5757488660593,15.912009637645852
1211-001,23.328862026810366,11.945993522408079,537.4159790328924,521.595204007056,1.100083855581344,24.423521117719456,13.403453912018469,827.8310216465287,611.7700923187443,1.4628851542826427
1212-001,22.370445036096985,13.002680491758618,373.96993776401683,687.0191345834606,1.842417820346397,25.133166275035038,16.681046484173283,665.7929466135744,853.8541114060481,2.758062573823009
1213-001,17.280393721366394,12.152296422897786,503.889157006251,403.4595398469661,5.554091030102143,20.633674971366393,16.6169508871835,1069.0216570062512,628.2075541326803,6.665464244387857
1214-001,17.168423237290003,11.971810445325058,219.7024908495851,308.3054995635239,7.280894048279011,18.10269119750444,13.21572150092485,392.8417963773717,385.26782478896,7.590537143664367
