y4_hhid,domain,strataid,clusterid,clustertype,y4_weights,regcode,regname,discode,disname,intdy,intmo,intyr
1212-001,1,13,70114201007,2,4581.8427734375,7,DAR ES SALAAM,1,KINONDONI,2,2,2015
1213-001,1,13,70114201007,2,4581.8427734375,7,DAR ES SALAAM,1,KINONDONI,3,2,2015
1214-001,1,13,70114201007,2,4581.8427734375,7,DAR ES SALAAM,1,KINONDONI,3,2,2015
1215-001,1,13,70114201007,2,4581.8427734375,7,DAR ES SALAAM,1,KINONDONI,3,2,2015
1217-001,1,13,70114201007,2,4581.8427734375,7,DAR ES SALAAM,1,KINONDONI,3,2,2015
1229-001,1,13,70116202001,2,941.867736816406,7,DAR ES SALAAM,1,KINONDONI,6,12,2014
1230-001,1,13,70116202001,2,941.867736816406,7,DAR ES SALAAM,1,KINONDONI,7,12,2014
1231-001,1,13,70116202001,2,941.867736816406,7,DAR ES SALAAM,1,KINONDONI,6,12,2014
1232-001,1,13,70116202001,2,941.867736816406,7,DAR ES SALAAM,1,KINONDONI,6,12,2014
1233-001,1,13,70116202001,2,941.867736816406,7,DAR ES SALAAM,1,KINONDONI,6,12,2014
1235-001,1,13,70116202001,2,941.867736816406,7,DAR ES SALAAM,1,KINONDONI,7,12,2014
1236-001,1,13,70116202001,2,941.867736816406,7,DAR ES SALAAM,1,KINONDONI,6,12,2014
1239-001,1,13,70116202001,2,941.867736816406,7,DAR ES SALAAM,1,KINONDONI,7,12,2014
1247-001,1,13,70119201006,2,1718.43188476563,7,DAR ES SALAAM,1,KINONDONI,20,2,2015
1248-001,1,13,70119201006,2,1718.43188476563,7,DAR ES SALAAM,1,KINONDONI,20,2,2015
1249-001,1,13,70119201006,2,1718.43188476563,7,DAR ES SALAAM,1,KINONDONI,19,2,2015
1250-001,1,13,70119201006,2,1718.43188476563,7,DAR ES SALAAM,1,KINONDONI,20,2,2015
1252-001,1,13,70119201006,2,1718.43188476563,7,DAR ES SALAAM,1,KINONDONI,20,2,2015
1253-001,1,13,70119201006,2,1718.43188476563,7,DAR ES SALAAM,1,KINONDONI,21,2,2015
1254-001,1,13,70119201006,2,1718.43188476563,7,DAR ES SALAAM,1,KINONDONI,20,2,2015
1257-001,1,13,70119201006,2,1718.43188476563,7,DAR ES SALAAM,1,KINONDONI,20,2,2015
1266-001,1,13,70121203018,2,2257.19946289063,7,DAR ES SALAAM,1,KINONDONI,24,2,2015
1267-001,1,13,70121203018,2,2257.19946289063,7,DAR ES SALAAM,1,KINONDONI,24,2,2015
1268-001,1,13,70121203018,2,2257.19946289063,7,DAR ES SALAAM,1,KINONDONI,23,2,2015
