y4_hhid,domain,strataid,clusterid,clustertype,y4_weights
1268-001,1,13,70121203018,2,2257.19946289063
1269-001,1,13,70121203018,2,2257.19946289063
1270-001,1,13,70121203018,2,2257.19946289063
1271-001,1,13,70121203018,2,2257.19946289063
1272-001,1,13,70121203018,2,2257.19946289063
1273-001,1,13,70121203018,2,2257.19946289063
1285-001,1,13,70123206009,2,1835.50134277344
1286-001,1,13,70123206009,2,1835.50134277344
1287-001,1,13,70123206009,2,1835.50134277344
1289-001,1,13,70123206009,2,1835.50134277344
1290-001,1,13,70123206009,2,1835.50134277344
1291-001,1,13,70123206009,2,1835.50134277344
1292-001,1,13,70123206009,2,1835.50134277344
1294-001,1,13,70123206009,2,1835.50134277344
1304-001,1,13,70126201021,2,1735.99169921875
1305-001,1,13,70126201021,2,1735.99169921875
1306-001,1,13,70126201021,2,1735.99169921875
1307-001,1,13,70126201021,2,1735.99169921875
1308-001,1,13,70126201021,2,1735.99169921875
1309-001,1,13,70126201021,2,1735.99169921875
1312-001,1,13,70126201021,2,1735.99169921875
1314-001,1,13,70126201021,2,1735.99169921875
1323-001,1,13,70128203007,2,1843.69555664063
1325-001,1,13,70128203007,2,1843.69555664063
1327-001,1,13,70128203007,2,1843.69555664063
1328-001,1,13,70128203007,2,1843.69555664063
1329-001,1,13,70128203007,2,1843.69555664063
1331-001,1,13,70128203007,2,1843.69555664063
1332-001,1,13,70128203007,2,1843.69555664063
1333-001,1,13,70128203007,2,1843.69555664063
1342-001,1,13,70129205050,2,1468.53930664063
1344-001,1,13,70129205050,2,1468.53930664063
1345-001,1,13,70129205050,2,1468.53930664063
1346-001,1,13,70129205050,2,1468.53930664063
1347-001,1,13,70129205050,2,1468.53930664063
1348-001,1,13,70129205050,2,1468.53930664063
1349-001,1,13,70129205050,2,1468.53930664063
1350-001,1,13,70129205050,2,1468.53930664063
1361-001,1,13,70132203038,2,2164.1474609375
1362-001,1,13,70132203038,2,2164.1474609375
1363-001,1,13,70132203038,2,2164.1474609375
1364-001,1,13,70132203038,2,2164.1474609375
1365-001,1,13,70132203038,2,2164.1474609375
1366-001,1,13,70132203038,2,2164.1474609375
1367-001,1,13,70132203038,2,2164.1474609375
1368-001,1,13,70132203038,2,2164.1474609375
1380-001,1,13,70134206050,2,2177.74609375
1381-001,1,13,70134206050,2,2177.74609375
1382-001,1,13,70134206050,2,2177.74609375
1383-001,1,13,70134206050,2,2177.74609375
1384-001,1,13,70134206050,2,2177.74609375
1385-001,1,13,70134206050,2,2177.74609375
1386-001,1,13,70134206050,2,2177.74609375
1387-001,1,13,70134206050,2,2177.74609375
1399-001,1,13,70202206008,2,3372.255859375
1400-001,1,13,70202206008,2,3372.255859375
1401-001,1,13,70202206008,2,3372.255859375
1402-001,1,13,70202206008,2,3372.255859375
1403-001,1,13,70202206008,2,3372.255859375
1405-001,1,13,70202206008,2,3372.255859375
1406-001,1,13,70202206008,2,3372.255859375
1407-001,1,13,70202206008,2,3372.255859375
1419-001,1,13,70205202037,2,2415.81323242188
1420-001,1,13,70205202037,2,2415.81323242188
1421-001,1,13,70205202037,2,2415.81323242188
1423-001,1,13,70205202037,2,2415.81323242188
1424-001,1,13,70205202037,2,2415.81323242188
1425-001,1,13,70205202037,2,2415.81323242188
1426-001,1,13,70205202037,2,2415.81323242188
1429-001,1,13,70205202037,2,2415.81323242188
1437-001,1,13,70208203024,2,2002.45812988281
1438-001,1,13,70208203024,2,2002.45812988281
1439-001,1,13,70208203024,2,2002.45812988281
1440-001,1,13,70208203024,2,2002.45812988281
1441-001,1,13,70208203024,2,2002.45812988281
1442-001,1,13,70208203024,2,2002.45812988281
1443-001,1,13,70208203024,2,2002.45812988281
1444-001,1,13,70208203024,2,2002.45812988281
1456-001,1,13,70209203039,2,1820.98901367188
1457-001,1,13,70209203039,2,1820.98901367188
1458-001,1,13,70209203039,2,1820.98901367188
1459-001,1,13,70209203039,2,1820.98901367188
1460-001,1,13,70209203039,2,1820.98901367188
1461-001,1,13,70209203039,2,1820.98901367188
1462-001,1,13,70209203039,2,1820.98901367188
1463-001,1,13,70209203039,2,1820.98901367188
1476-001,1,13,70214202014,2,997.271728515625
1477-001,1,13,70214202014,2,997.271728515625
1478-001,1,13,70214202014,2,997.271728515625
1479-001,1,13,70214202014,2,997.271728515625
1480-001,1,13,70214202014,2,997.271728515625
1481-001,1,13,70214202014,2,997.271728515625
1483-001,1,13,70214202014,2,997.271728515625
1486-001,1,13,70214202014,2,997.271728515625
1494-001,1,13,70219204037,2,2511.09204101563
1495-001,1,13,70219204037,2,2511.09204101563
1496-001,1,13,70219204037,2,2511.09204101563
1497-001,1,13,70219204037,2,2511.09204101563
1498-001,1,13,70219204037,2,2511.09204101563
1499-001,1,13,70219204037,2,2511.09204101563
1500-001,1,13,70219204037,2,2511.09204101563
1501-001,1,13,70219204037,2,2511.09204101563
1513-001,1,13,70221202048,2,3154.76806640625
1514-001,1,13,70221202048,2,3154.76806640625
1515-001,1,13,70221202048,2,3154.76806640625
1516-001,1,13,70221202048,2,3154.76806640625
1517-001,1,13,70221202048,2,3154.76806640625
1518-001,1,13,70221202048,2,3154.76806640625
1519-001,1,13,70221202048,2,3154.76806640625
1520-001,1,13,70221202048,2,3154.76806640625
1532-001,1,13,70224201025,2,2630.2314453125
1533-001,1,13,70224201025,2,2630.2314453125
1534-001,1,13,70224201025,2,2630.2314453125
1536-001,1,13,70224201025,2,2630.2314453125
1537-001,1,13,70224201025,2,2630.2314453125
1538-001,1,13,70224201025,2,2630.2314453125
1539-001,1,13,70224201025,2,2630.2314453125
1541-001,1,13,70224201025,2,2630.2314453125
1551-001,1,13,70225206022,2,2979.50317382813
1552-001,1,13,70225206022,2,2979.50317382813
1553-001,1,13,70225206022,2,2979.50317382813
1554-001,1,13,70225206022,2,2979.50317382813
1555-001,1,13,70225206022,2,2979.50317382813
1556-001,1,13,70225206022,2,2979.50317382813
1557-001,1,13,70225206022,2,2979.50317382813
1559-001,1,13,70225206022,2,2979.50317382813
1570-001,1,13,70302202023,2,1625.18347167969
1571-001,1,13,70302202023,2,1625.18347167969
1572-001,1,13,70302202023,2,1625.18347167969
1573-001,1,13,70302202023,2,1625.18347167969
1574-001,1,13,70302202023,2,1625.18347167969
1575-001,1,13,70302202023,2,1625.18347167969
1576-001,1,13,70302202023,2,1625.18347167969
1578-001,1,13,70302202023,2,1625.18347167969
1589-001,1,13,70308201042,2,4469.2548828125
1590-001,1,13,70308201042,2,4469.2548828125
1591-001,1,13,70308201042,2,4469.2548828125
1592-001,1,13,70308201042,2,4469.2548828125
1593-001,1,13,70308201042,2,4469.2548828125
1594-001,1,13,70308201042,2,4469.2548828125
1595-001,1,13,70308201042,2,4469.2548828125
1596-001,1,13,70308201042,2,4469.2548828125
1608-001,1,13,70310201007,2,3673.83056640625
1609-001,1,13,70310201007,2,3673.83056640625
1610-001,1,13,70310201007,2,3673.83056640625
1611-001,1,13,70310201007,2,3673.83056640625
1612-001,1,13,70310201007,2,3673.83056640625
1613-001,1,13,70310201007,2,3673.83056640625
1614-001,1,13,70310201007,2,3673.83056640625
1615-001,1,13,70310201007,2,3673.83056640625
1627-001,1,13,70311211001,2,3324.23876953125
1628-001,1,13,70311211001,2,3324.23876953125
1629-001,1,13,70311211001,2,3324.23876953125
1632-001,1,13,70311211001,2,3324.23876953125
1633-001,1,13,70311211001,2,3324.23876953125
1635-001,1,13,70311211001,2,3324.23876953125
1636-001,1,13,70311211001,2,3324.23876953125
1638-001,1,13,70311211001,2,3324.23876953125
1646-001,1,13,70314202112,2,1828.33154296875
1647-001,1,13,70314202112,2,1828.33154296875
1648-001,1,13,70314202112,2,1828.33154296875
1649-001,1,13,70314202112,2,1828.33154296875
1650-001,1,13,70314202112,2,1828.33154296875
1651-001,1,13,70314202112,2,1828.33154296875
1652-001,1,13,70314202112,2,1828.33154296875
1654-001,1,13,70314202112,2,1828.33154296875
1665-001,1,13,70317204024,2,2401.39038085938
1666-001,1,13,70317204024,2,2401.39038085938
1667-001,1,13,70317204024,2,2401.39038085938
1668-001,1,13,70317204024,2,2401.39038085938
1669-001,1,13,70317204024,2,2401.39038085938
1671-001,1,13,70317204024,2,2401.39038085938
1673-001,1,13,70317204024,2,2401.39038085938
1676-001,1,13,70317204024,2,2401.39038085938
1684-001,1,13,70319206003,2,2212.75
1685-001,1,13,70319206003,2,2212.75
1687-001,1,13,70319206003,2,2212.75
1688-001,1,13,70319206003,2,2212.75
1690-001,1,13,70319206003,2,2212.75
1691-001,1,13,70319206003,2,2212.75
1693-001,1,13,70319206003,2,2212.75
1694-001,1,13,70319206003,2,2212.75
1703-001,1,13,70321205089,2,2123.22338867188
1704-001,1,13,70321205089,2,2123.22338867188
