y4_hhid,domain,strataid,clusterid,clustertype,y4_weights
2064-001,3,35,180102103015,1,3172.810546875
2065-001,3,35,180102103015,1,3172.810546875
2066-001,3,35,180102103015,1,3172.810546875
2067-001,3,35,180102103015,1,3172.810546875
2068-001,3,35,180102103015,1,3172.810546875
2069-001,3,35,180102103015,1,3172.810546875
2070-001,3,35,180102103015,1,3172.810546875
2072-001,3,35,180102103015,1,3172.810546875
2083-001,2,34,180106302306,2,3599.44995117188
2084-001,2,34,180106302306,2,3599.44995117188
2085-001,2,34,180106302306,2,3599.44995117188
2086-001,2,34,180106302306,2,3599.44995117188
2087-001,2,34,180106302306,2,3599.44995117188
2088-001,2,34,180106302306,2,3599.44995117188
2089-001,2,34,180106302306,2,3599.44995117188
2090-001,2,34,180106302306,2,3599.44995117188
2102-001,3,35,180119102003,1,3102.3603515625
2103-001,3,35,180119102003,1,3102.3603515625
2105-001,3,35,180119102003,1,3102.3603515625
2106-001,3,35,180119102003,1,3102.3603515625
2107-001,3,35,180119102003,1,3102.3603515625
2108-001,3,35,180119102003,1,3102.3603515625
2109-001,3,35,180119102003,1,3102.3603515625
2110-001,3,35,180119102003,1,3102.3603515625
2121-001,3,35,180216103006,1,2542.19018554688
2122-001,3,35,180216103006,1,2542.19018554688
2123-001,3,35,180216103006,1,2542.19018554688
2124-001,3,35,180216103006,1,2542.19018554688
2125-001,3,35,180216103006,1,2542.19018554688
2126-001,3,35,180216103006,1,2542.19018554688
2127-001,3,35,180216103006,1,2542.19018554688
2128-001,3,35,180216103006,1,2542.19018554688
2140-001,3,35,180308105003,1,806.487854003906
2141-001,3,35,180308105003,1,806.487854003906
2142-001,3,35,180308105003,1,806.487854003906
2143-001,3,35,180308105003,1,806.487854003906
2144-001,3,35,180308105003,1,806.487854003906
2145-001,3,35,180308105003,1,806.487854003906
2146-001,3,35,180308105003,1,806.487854003906
2147-001,3,35,180308105003,1,806.487854003906
2159-001,3,35,180326102004,1,2824.65551757813
2160-001,3,35,180326102004,1,2824.65551757813
2161-001,3,35,180326102004,1,2824.65551757813
2162-001,3,35,180326102004,1,2824.65551757813
2163-001,3,35,180326102004,1,2824.65551757813
2164-001,3,35,180326102004,1,2824.65551757813
2165-001,3,35,180326102004,1,2824.65551757813
2166-001,3,35,180326102004,1,2824.65551757813
2178-001,3,35,180342103002,1,3158.12182617188
2179-001,3,35,180342103002,1,3158.12182617188
2180-001,3,35,180342103002,1,3158.12182617188
2181-001,3,35,180342103002,1,3158.12182617188
2182-001,3,35,180342103002,1,3158.12182617188
2183-001,3,35,180342103002,1,3158.12182617188
2184-001,3,35,180342103002,1,3158.12182617188
2185-001,3,35,180342103002,1,3158.12182617188
2197-001,3,35,180414101003,1,1299.34155273438
2198-001,3,35,180414101003,1,1299.34155273438
2199-001,3,35,180414101003,1,1299.34155273438
2200-001,3,35,180414101003,1,1299.34155273438
2201-001,3,35,180414101003,1,1299.34155273438
2202-001,3,35,180414101003,1,1299.34155273438
2203-001,3,35,180414101003,1,1299.34155273438
2204-001,3,35,180414101003,1,1299.34155273438
2216-001,3,35,180511105004,1,2238.73046875
2217-001,3,35,180511105004,1,2238.73046875
2218-001,3,35,180511105004,1,2238.73046875
2219-001,3,35,180511105004,1,2238.73046875
2220-001,3,35,180511105004,1,2238.73046875
2221-001,3,35,180511105004,1,2238.73046875
2222-001,3,35,180511105004,1,2238.73046875
2223-001,3,35,180511105004,1,2238.73046875
2235-001,3,35,180709101002,1,2958.32202148438
2236-001,3,35,180709101002,1,2958.32202148438
2237-001,3,35,180709101002,1,2958.32202148438
2238-001,3,35,180709101002,1,2958.32202148438
2239-001,3,35,180709101002,1,2958.32202148438
2240-001,3,35,180709101002,1,2958.32202148438
2241-001,3,35,180709101002,1,2958.32202148438
2242-001,3,35,180709101002,1,2958.32202148438
2254-001,3,35,180809101009,1,2598.68310546875
2255-001,3,35,180809101009,1,2598.68310546875
2256-001,3,35,180809101009,1,2598.68310546875
2257-001,3,35,180809101009,1,2598.68310546875
2258-001,3,35,180809101009,1,2598.68310546875
2259-001,3,35,180809101009,1,2598.68310546875
2260-001,3,35,180809101009,1,2598.68310546875
2261-001,3,35,180809101009,1,2598.68310546875
2273-001,4,50,540119201001,2,233.174057006836
2274-001,4,50,540119201001,2,233.174057006836
2275-001,4,50,540119201001,2,233.174057006836
2276-001,4,50,540119201001,2,233.174057006836
2277-001,4,50,540119201001,2,233.174057006836
2278-001,4,50,540119201001,2,233.174057006836
2279-001,4,50,540119201001,2,233.174057006836
2280-001,4,50,540119201001,2,233.174057006836
2292-001,4,51,540120101002,1,835.339172363281
2293-001,4,51,540120101002,1,835.339172363281
2294-001,4,51,540120101002,1,835.339172363281
2295-001,4,51,540120101002,1,835.339172363281
2296-001,4,51,540120101002,1,835.339172363281
2297-001,4,51,540120101002,1,835.339172363281
2298-001,4,51,540120101002,1,835.339172363281
2299-001,4,51,540120101002,1,835.339172363281
2311-001,4,51,540204101001,1,891.972351074219
2312-001,4,51,540204101001,1,891.972351074219
2313-001,4,51,540204101001,1,891.972351074219
2314-001,4,51,540204101001,1,891.972351074219
2316-001,4,51,540204101001,1,891.972351074219
2317-001,4,51,540204101001,1,891.972351074219
2318-001,4,51,540204101001,1,891.972351074219
2320-001,4,51,540204101001,1,891.972351074219
2330-001,4,50,540208307303,2,221.172454833984
2331-001,4,50,540208307303,2,221.172454833984
2332-001,4,50,540208307303,2,221.172454833984
2333-001,4,50,540208307303,2,221.172454833984
2334-001,4,50,540208307303,2,221.172454833984
2335-001,4,50,540208307303,2,221.172454833984
2336-001,4,50,540208307303,2,221.172454833984
2337-001,4,50,540208307303,2,221.172454833984
2349-001,4,51,540213105002,1,821.180908203125
2350-001,4,51,540213105002,1,821.180908203125
2352-001,4,51,540213105002,1,821.180908203125
2353-001,4,51,540213105002,1,821.180908203125
2354-001,4,51,540213105002,1,821.180908203125
2355-001,4,51,540213105002,1,821.180908203125
2356-001,4,51,540213105002,1,821.180908203125
2360-001,4,51,540213105002,1,821.180908203125
2368-001,4,51,510108102001,1,1288.09704589844
2369-001,4,51,510108102001,1,1288.09704589844
2371-001,4,51,510108102001,1,1288.09704589844
2372-001,4,51,510108102001,1,1288.09704589844
2373-001,4,51,510108102001,1,1288.09704589844
2374-001,4,51,510108102001,1,1288.09704589844
2375-001,4,51,510108102001,1,1288.09704589844
2376-001,4,51,510108102001,1,1288.09704589844
2387-001,4,50,510116203003,2,310.819976806641
2389-001,4,50,510116203003,2,310.819976806641
2390-001,4,50,510116203003,2,310.819976806641
2391-001,4,50,510116203003,2,310.819976806641
2392-001,4,50,510116203003,2,310.819976806641
2393-001,4,50,510116203003,2,310.819976806641
2394-001,4,50,510116203003,2,310.819976806641
2398-001,4,50,510116203003,2,310.819976806641
2406-001,4,51,510136102002,1,1230.77905273438
2407-001,4,51,510136102002,1,1230.77905273438
2408-001,4,51,510136102002,1,1230.77905273438
2409-001,4,51,510136102002,1,1230.77905273438
2410-001,4,51,510136102002,1,1230.77905273438
2411-001,4,51,510136102002,1,1230.77905273438
2412-001,4,51,510136102002,1,1230.77905273438
2413-001,4,51,510136102002,1,1230.77905273438
2425-001,4,51,510212101001,1,741.489990234375
2426-001,4,51,510212101001,1,741.489990234375
2427-001,4,51,510212101001,1,741.489990234375
2428-001,4,51,510212101001,1,741.489990234375
2430-001,4,51,510212101001,1,741.489990234375
2431-001,4,51,510212101001,1,741.489990234375
2432-001,4,51,510212101001,1,741.489990234375
2435-001,4,51,510212101001,1,741.489990234375
2444-001,2,44,230106201004,2,1490.21887207031
2445-001,2,44,230106201004,2,1490.21887207031
2446-001,2,44,230106201004,2,1490.21887207031
2447-001,2,44,230106201004,2,1490.21887207031
2448-001,2,44,230106201004,2,1490.21887207031
2449-001,2,44,230106201004,2,1490.21887207031
2450-001,2,44,230106201004,2,1490.21887207031
2451-001,2,44,230106201004,2,1490.21887207031
2463-001,3,45,230207104007,1,1858.72045898438
2464-001,3,45,230207104007,1,1858.72045898438
2465-001,3,45,230207104007,1,1858.72045898438
2466-001,3,45,230207104007,1,1858.72045898438
2467-001,3,45,230207104007,1,1858.72045898438
2468-001,3,45,230207104007,1,1858.72045898438
2469-001,3,45,230207104007,1,1858.72045898438
2471-001,3,45,230207104007,1,1858.72045898438
2482-001,3,45,230316101003,1,1830.35803222656
2483-001,3,45,230316101003,1,1830.35803222656
2484-001,3,45,230316101003,1,1830.35803222656
2485-001,3,45,230316101003,1,1830.35803222656
2486-001,3,45,230316101003,1,1830.35803222656
2487-001,3,45,230316101003,1,1830.35803222656
2488-001,3,45,230316101003,1,1830.35803222656
2489-001,3,45,230316101003,1,1830.35803222656
2501-001,3,31,160201101006,1,8999.0283203125
2502-001,3,31,160201101006,1,8999.0283203125
2503-001,3,31,160201101006,1,8999.0283203125
2504-001,3,31,160201101006,1,8999.0283203125
2505-001,3,31,160201101006,1,8999.0283203125
2506-001,3,31,160201101006,1,8999.0283203125
2507-001,3,31,160201101006,1,8999.0283203125
2508-001,3,31,160201101006,1,8999.0283203125
2520-001,3,31,160301102011,1,3017.72509765625
2521-001,3,31,160301102011,1,3017.72509765625
2522-001,3,31,160301102011,1,3017.72509765625
2523-001,3,31,160301102011,1,3017.72509765625
2524-001,3,31,160301102011,1,3017.72509765625
2525-001,3,31,160301102011,1,3017.72509765625
2526-001,3,31,160301102011,1,3017.72509765625
2527-001,3,31,160301102011,1,3017.72509765625
2539-001,2,30,160418203020,2,2639.22534179688
2540-001,2,30,160418203020,2,2639.22534179688
2541-001,2,30,160418203020,2,2639.22534179688
2542-001,2,30,160418203020,2,2639.22534179688
2543-001,2,30,160418203020,2,2639.22534179688
2544-001,2,30,160418203020,2,2639.22534179688
2545-001,2,30,160418203020,2,2639.22534179688
2546-001,2,30,160418203020,2,2639.22534179688
2558-001,3,31,160506101006,1,5145.34130859375
2559-001,3,31,160506101006,1,5145.34130859375
2560-001,3,31,160506101006,1,5145.34130859375
2561-001,3,31,160506101006,1,5145.34130859375
2562-001,3,31,160506101006,1,5145.34130859375
2563-001,3,31,160506101006,1,5145.34130859375
2564-001,3,31,160506101006,1,5145.34130859375
2566-001,3,31,160506101006,1,5145.34130859375
2577-001,3,31,160606102007,1,3350.017578125
2578-001,3,31,160606102007,1,3350.017578125
2579-001,3,31,160606102007,1,3350.017578125
2580-001,3,31,160606102007,1,3350.017578125
2581-001,3,31,160606102007,1,3350.017578125
2582-001,3,31,160606102007,1,3350.017578125
2583-001,3,31,160606102007,1,3350.017578125
2584-001,3,31,160606102007,1,3350.017578125
2596-001,3,31,160708102018,1,3804.95825195313
2597-001,3,31,160708102018,1,3804.95825195313
2598-001,3,31,160708102018,1,3804.95825195313
2599-001,3,31,160708102018,1,3804.95825195313
2600-001,3,31,160708102018,1,3804.95825195313
2601-001,3,31,160708102018,1,3804.95825195313
2602-001,3,31,160708102018,1,3804.95825195313
2603-001,3,31,160708102018,1,3804.95825195313
2615-001,3,6,30119301009,1,3610.01782226563
2616-001,3,6,30119301009,1,3610.01782226563
2617-001,3,6,30119301009,1,3610.01782226563
2618-001,3,6,30119301009,1,3610.01782226563
2619-001,3,6,30119301009,1,3610.01782226563
2620-001,3,6,30119301009,1,3610.01782226563
2621-001,3,6,30119301009,1,3610.01782226563
2622-001,3,6,30119301009,1,3610.01782226563
2634-001,3,6,30318103005,1,3732.28393554688
2635-001,3,6,30318103005,1,3732.28393554688
2636-001,3,6,30318103005,1,3732.28393554688
2637-001,3,6,30318103005,1,3732.28393554688
2638-001,3,6,30318103005,1,3732.28393554688
2639-001,3,6,30318103005,1,3732.28393554688
2640-001,3,6,30318103005,1,3732.28393554688
2641-001,3,6,30318103005,1,3732.28393554688
2653-001,2,5,30326201009,2,2471.09545898438
2654-001,2,5,30326201009,2,2471.09545898438
2655-001,2,5,30326201009,2,2471.09545898438
2656-001,2,5,30326201009,2,2471.09545898438
2657-001,2,5,30326201009,2,2471.09545898438
2658-001,2,5,30326201009,2,2471.09545898438
2659-001,2,5,30326201009,2,2471.09545898438
2660-001,2,5,30326201009,2,2471.09545898438
2672-001,3,6,30411103004,1,3492.3232421875
2673-001,3,6,30411103004,1,3492.3232421875
2674-001,3,6,30411103004,1,3492.3232421875
2675-001,3,6,30411103004,1,3492.3232421875
2676-001,3,6,30411103004,1,3492.3232421875
2677-001,3,6,30411103004,1,3492.3232421875
2678-001,3,6,30411103004,1,3492.3232421875
2679-001,3,6,30411103004,1,3492.3232421875
2691-001,3,6,30426103001,1,3621.52612304688
2692-001,3,6,30426103001,1,3621.52612304688
2693-001,3,6,30426103001,1,3621.52612304688
2694-001,3,6,30426103001,1,3621.52612304688
2695-001,3,6,30426103001,1,3621.52612304688
2696-001,3,6,30426103001,1,3621.52612304688
2697-001,3,6,30426103001,1,3621.52612304688
2698-001,3,6,30426103001,1,3621.52612304688
2710-001,3,6,30512103005,1,3573.87475585938
2711-001,3,6,30512103005,1,3573.87475585938
2712-001,3,6,30512103005,1,3573.87475585938
2713-001,3,6,30512103005,1,3573.87475585938
2714-001,3,6,30512103005,1,3573.87475585938
2715-001,3,6,30512103005,1,3573.87475585938
2716-001,3,6,30512103005,1,3573.87475585938
2717-001,3,6,30512103005,1,3573.87475585938
2729-001,2,5,30611201003,2,2859.74169921875
2730-001,2,5,30611201003,2,2859.74169921875
2731-001,2,5,30611201003,2,2859.74169921875
2732-001,2,5,30611201003,2,2859.74169921875
2733-001,2,5,30611201003,2,2859.74169921875
2734-001,2,5,30611201003,2,2859.74169921875
2735-001,2,5,30611201003,2,2859.74169921875
2736-001,2,5,30611201003,2,2859.74169921875
2748-001,4,51,550109102001,1,982.329833984375
2749-001,4,51,550109102001,1,982.329833984375
2750-001,4,51,550109102001,1,982.329833984375
2751-001,4,51,550109102001,1,982.329833984375
2752-001,4,51,550109102001,1,982.329833984375
2753-001,4,51,550109102001,1,982.329833984375
2754-001,4,51,550109102001,1,982.329833984375
2755-001,4,51,550109102001,1,982.329833984375
2767-001,4,50,550126202001,2,229.437606811523
2768-001,4,50,550126202001,2,229.437606811523
2769-001,4,50,550126202001,2,229.437606811523
2770-001,4,50,550126202001,2,229.437606811523
2771-001,4,50,550126202001,2,229.437606811523
2772-001,4,50,550126202001,2,229.437606811523
2773-001,4,50,550126202001,2,229.437606811523
2774-001,4,50,550126202001,2,229.437606811523
2786-001,4,51,550227101002,1,907.587341308594
2787-001,4,51,550227101002,1,907.587341308594
2788-001,4,51,550227101002,1,907.587341308594
2789-001,4,51,550227101002,1,907.587341308594
2790-001,4,51,550227101002,1,907.587341308594
2791-001,4,51,550227101002,1,907.587341308594
2792-001,4,51,550227101002,1,907.587341308594
2793-001,4,51,550227101002,1,907.587341308594
2805-001,4,51,520113101001,1,1330.92150878906
2806-001,4,51,520113101001,1,1330.92150878906
2807-001,4,51,520113101001,1,1330.92150878906
2808-001,4,51,520113101001,1,1330.92150878906
2809-001,4,51,520113101001,1,1330.92150878906
2810-001,4,51,520113101001,1,1330.92150878906
2811-001,4,51,520113101001,1,1330.92150878906
2812-001,4,51,520113101001,1,1330.92150878906
2824-001,4,51,520209101002,1,1174.34252929688
2825-001,4,51,520209101002,1,1174.34252929688
2826-001,4,51,520209101002,1,1174.34252929688
2827-001,4,51,520209101002,1,1174.34252929688
2828-001,4,51,520209101002,1,1174.34252929688
2829-001,4,51,520209101002,1,1174.34252929688
2833-001,4,51,520209101002,1,1174.34252929688
2834-001,4,51,520209101002,1,1174.34252929688
2843-001,3,15,80113102002,1,5145.564453125
2844-001,3,15,80113102002,1,5145.564453125
2845-001,3,15,80113102002,1,5145.564453125
2846-001,3,15,80113102002,1,5145.564453125
2847-001,3,15,80113102002,1,5145.564453125
2848-001,3,15,80113102002,1,5145.564453125
2849-001,3,15,80113102002,1,5145.564453125
2850-001,3,15,80113102002,1,5145.564453125
2862-001,2,14,80118302301,2,3596.92114257813
2863-001,2,14,80118302301,2,3596.92114257813
2864-001,2,14,80118302301,2,3596.92114257813
2865-001,2,14,80118302301,2,3596.92114257813
2866-001,2,14,80118302301,2,3596.92114257813
2867-001,2,14,80118302301,2,3596.92114257813
2868-001,2,14,80118302301,2,3596.92114257813
2872-001,2,14,80118302301,2,3596.92114257813
2881-001,3,15,80214103007,1,2097.9912109375
2882-001,3,15,80214103007,1,2097.9912109375
2884-001,3,15,80214103007,1,2097.9912109375
2885-001,3,15,80214103007,1,2097.9912109375
2886-001,3,15,80214103007,1,2097.9912109375
2887-001,3,15,80214103007,1,2097.9912109375
2888-001,3,15,80214103007,1,2097.9912109375
2892-001,3,15,80214103007,1,2097.9912109375
2900-001,3,15,80311103003,1,2795.73974609375
2901-001,3,15,80311103003,1,2795.73974609375
2902-001,3,15,80311103003,1,2795.73974609375
2903-001,3,15,80311103003,1,2795.73974609375
2904-001,3,15,80311103003,1,2795.73974609375
2905-001,3,15,80311103003,1,2795.73974609375
2906-001,3,15,80311103003,1,2795.73974609375
2907-001,3,15,80311103003,1,2795.73974609375
2919-001,3,15,80415101002,1,2055.72729492188
2920-001,3,15,80415101002,1,2055.72729492188
2921-001,3,15,80415101002,1,2055.72729492188
2922-001,3,15,80415101002,1,2055.72729492188
2923-001,3,15,80415101002,1,2055.72729492188
2924-001,3,15,80415101002,1,2055.72729492188
2925-001,3,15,80415101002,1,2055.72729492188
2926-001,3,15,80415101002,1,2055.72729492188
2938-001,3,41,210201101006,1,3404.10815429688
2939-001,3,41,210201101006,1,3404.10815429688
2940-001,3,41,210201101006,1,3404.10815429688
2941-001,3,41,210201101006,1,3404.10815429688
2942-001,3,41,210201101006,1,3404.10815429688
2943-001,3,41,210201101006,1,3404.10815429688
2944-001,3,41,210201101006,1,3404.10815429688
2945-001,3,41,210201101006,1,3404.10815429688
2957-001,3,41,210323102003,1,6131.71240234375
2958-001,3,41,210323102003,1,6131.71240234375
2959-001,3,41,210323102003,1,6131.71240234375
2960-001,3,41,210323102003,1,6131.71240234375
2961-001,3,41,210323102003,1,6131.71240234375
2962-001,3,41,210323102003,1,6131.71240234375
2963-001,3,41,210323102003,1,6131.71240234375
2964-001,3,41,210323102003,1,6131.71240234375
2976-001,2,40,210326202001,2,2846.36938476563
2977-001,2,40,210326202001,2,2846.36938476563
2978-001,2,40,210326202001,2,2846.36938476563
2979-001,2,40,210326202001,2,2846.36938476563
2980-001,2,40,210326202001,2,2846.36938476563
2981-001,2,40,210326202001,2,2846.36938476563
2982-001,2,40,210326202001,2,2846.36938476563
2983-001,2,40,210326202001,2,2846.36938476563
2995-001,3,41,210513104004,1,4661.0986328125
2996-001,3,41,210513104004,1,4661.0986328125
2997-001,3,41,210513104004,1,4661.0986328125
2998-001,3,41,210513104004,1,4661.0986328125
2999-001,3,41,210513104004,1,4661.0986328125
3000-001,3,41,210513104004,1,4661.0986328125
3001-001,3,41,210513104004,1,4661.0986328125
3002-001,3,41,210513104004,1,4661.0986328125
3015-001,3,39,200112103013,1,3703.92407226563
3016-001,3,39,200112103013,1,3703.92407226563
3017-001,3,39,200112103013,1,3703.92407226563
3018-001,3,39,200112103013,1,3703.92407226563
3019-001,3,39,200112103013,1,3703.92407226563
3020-001,3,39,200112103013,1,3703.92407226563
3021-001,3,39,200112103013,1,3703.92407226563
3022-001,3,39,200112103013,1,3703.92407226563
3033-001,3,39,200222101001,1,4155.4306640625
3034-001,3,39,200222101001,1,4155.4306640625
3035-001,3,39,200222101001,1,4155.4306640625
3037-001,3,39,200222101001,1,4155.4306640625
3038-001,3,39,200222101001,1,4155.4306640625
3039-001,3,39,200222101001,1,4155.4306640625
3040-001,3,39,200222101001,1,4155.4306640625
3042-001,3,39,200222101001,1,4155.4306640625
3052-001,2,38,200401301304,2,3673.5087890625
3053-001,2,38,200401301304,2,3673.5087890625
3054-001,2,38,200401301304,2,3673.5087890625
3055-001,2,38,200401301304,2,3673.5087890625
3056-001,2,38,200401301304,2,3673.5087890625
3057-001,2,38,200401301304,2,3673.5087890625
3058-001,2,38,200401301304,2,3673.5087890625
3059-001,2,38,200401301304,2,3673.5087890625
3071-001,3,39,200412103003,1,3745.54125976563
3072-001,3,39,200412103003,1,3745.54125976563
3073-001,3,39,200412103003,1,3745.54125976563
3074-001,3,39,200412103003,1,3745.54125976563
3075-001,3,39,200412103003,1,3745.54125976563
3076-001,3,39,200412103003,1,3745.54125976563
3077-001,3,39,200412103003,1,3745.54125976563
3078-001,3,39,200412103003,1,3745.54125976563
3090-001,3,39,200613103002,1,3153.22290039063
3091-001,3,39,200613103002,1,3153.22290039063
3092-001,3,39,200613103002,1,3153.22290039063
3093-001,3,39,200613103002,1,3153.22290039063
3094-001,3,39,200613103002,1,3153.22290039063
3095-001,3,39,200613103002,1,3153.22290039063
3096-001,3,39,200613103002,1,3153.22290039063
3097-001,3,39,200613103002,1,3153.22290039063
3109-001,3,39,200718103011,1,3335.15991210938
3110-001,3,39,200718103011,1,3335.15991210938
3112-001,3,39,200718103011,1,3335.15991210938
3113-001,3,39,200718103011,1,3335.15991210938
3114-001,3,39,200718103011,1,3335.15991210938
3115-001,3,39,200718103011,1,3335.15991210938
3116-001,3,39,200718103011,1,3335.15991210938
3117-001,3,39,200718103011,1,3335.15991210938
3128-001,3,23,120121101003,1,5027.1318359375
3129-001,3,23,120121101003,1,5027.1318359375
3130-001,3,23,120121101003,1,5027.1318359375
3131-001,3,23,120121101003,1,5027.1318359375
3132-001,3,23,120121101003,1,5027.1318359375
3133-001,3,23,120121101003,1,5027.1318359375
3134-001,3,23,120121101003,1,5027.1318359375
3135-001,3,23,120121101003,1,5027.1318359375
3147-001,2,22,120222302301,2,8883.63671875
3148-001,2,22,120222302301,2,8883.63671875
3149-001,2,22,120222302301,2,8883.63671875
3150-001,2,22,120222302301,2,8883.63671875
3151-001,2,22,120222302301,2,8883.63671875
3152-001,2,22,120222302301,2,8883.63671875
3153-001,2,22,120222302301,2,8883.63671875
3154-001,2,22,120222302301,2,8883.63671875
3166-001,3,23,120303102001,1,4148.13623046875
3167-001,3,23,120303102001,1,4148.13623046875
3168-001,3,23,120303102001,1,4148.13623046875
3169-001,3,23,120303102001,1,4148.13623046875
3170-001,3,23,120303102001,1,4148.13623046875
3171-001,3,23,120303102001,1,4148.13623046875
3172-001,3,23,120303102001,1,4148.13623046875
3173-001,3,23,120303102001,1,4148.13623046875
3185-001,3,23,120421102008,1,5189.7666015625
3186-001,3,23,120421102008,1,5189.7666015625
3187-001,3,23,120421102008,1,5189.7666015625
3188-001,3,23,120421102008,1,5189.7666015625
3189-001,3,23,120421102008,1,5189.7666015625
3190-001,3,23,120421102008,1,5189.7666015625
3191-001,3,23,120421102008,1,5189.7666015625
3192-001,3,23,120421102008,1,5189.7666015625
3204-001,3,23,120605101005,1,7423.744140625
3205-001,3,23,120605101005,1,7423.744140625
3206-001,3,23,120605101005,1,7423.744140625
3207-001,3,23,120605101005,1,7423.744140625
3208-001,3,23,120605101005,1,7423.744140625
3209-001,3,23,120605101005,1,7423.744140625
3210-001,3,23,120605101005,1,7423.744140625
3211-001,3,23,120605101005,1,7423.744140625
3223-001,3,23,120704303001,1,4271.81005859375
3224-001,3,23,120704303001,1,4271.81005859375
3225-001,3,23,120704303001,1,4271.81005859375
3226-001,3,23,120704303001,1,4271.81005859375
3227-001,3,23,120704303001,1,4271.81005859375
3228-001,3,23,120704303001,1,4271.81005859375
3229-001,3,23,120704303001,1,4271.81005859375
3230-001,3,23,120704303001,1,4271.81005859375
3242-001,2,22,120825201005,2,7534.86572265625
3243-001,2,22,120825201005,2,7534.86572265625
3244-001,2,22,120825201005,2,7534.86572265625
3245-001,2,22,120825201005,2,7534.86572265625
3246-001,2,22,120825201005,2,7534.86572265625
3247-001,2,22,120825201005,2,7534.86572265625
3248-001,2,22,120825201005,2,7534.86572265625
3249-001,2,22,120825201005,2,7534.86572265625
3261-001,3,23,120912104004,1,5896.68603515625
3262-001,3,23,120912104004,1,5896.68603515625
3263-001,3,23,120912104004,1,5896.68603515625
3264-001,3,23,120912104004,1,5896.68603515625
3265-001,3,23,120912104004,1,5896.68603515625
3266-001,3,23,120912104004,1,5896.68603515625
3267-001,3,23,120912104004,1,5896.68603515625
3268-001,3,23,120912104004,1,5896.68603515625
3280-001,4,50,530101305301,2,197.139678955078
3282-001,4,50,530101305301,2,197.139678955078
3283-001,4,50,530101305301,2,197.139678955078
3284-001,4,50,530101305301,2,197.139678955078
3285-001,4,50,530101305301,2,197.139678955078
3286-001,4,50,530101305301,2,197.139678955078
3287-001,4,50,530101305301,2,197.139678955078
3291-001,4,50,530101305301,2,197.139678955078
3299-001,4,50,530103304302,2,256.354095458984
3300-001,4,50,530103304302,2,256.354095458984
3301-001,4,50,530103304302,2,256.354095458984
3302-001,4,50,530103304302,2,256.354095458984
3304-001,4,50,530103304302,2,256.354095458984
3305-001,4,50,530103304302,2,256.354095458984
3306-001,4,50,530103304302,2,256.354095458984
3308-001,4,50,530103304302,2,256.354095458984
3319-001,4,50,530116305305,2,112.679634094238
3320-001,4,50,530116305305,2,112.679634094238
3321-001,4,50,530116305305,2,112.679634094238
3322-001,4,50,530116305305,2,112.679634094238
3323-001,4,50,530116305305,2,112.679634094238
3324-001,4,50,530116305305,2,112.679634094238
3325-001,4,50,530116305305,2,112.679634094238
3326-001,4,50,530116305305,2,112.679634094238
3337-001,4,50,530122206001,2,286.787261962891
3338-001,4,50,530122206001,2,286.787261962891
3339-001,4,50,530122206001,2,286.787261962891
3340-001,4,50,530122206001,2,286.787261962891
3341-001,4,50,530122206001,2,286.787261962891
3342-001,4,50,530122206001,2,286.787261962891
3343-001,4,50,530122206001,2,286.787261962891
3344-001,4,50,530122206001,2,286.787261962891
3356-001,4,50,530124201003,2,425.512268066406
3357-001,4,50,530124201003,2,425.512268066406
3358-001,4,50,530124201003,2,425.512268066406
3360-001,4,50,530124201003,2,425.512268066406
3362-001,4,50,530124201003,2,425.512268066406
3363-001,4,50,530124201003,2,425.512268066406
3364-001,4,50,530124201003,2,425.512268066406
3366-001,4,50,530124201003,2,425.512268066406
3375-001,4,50,530125307303,2,288.900421142578
3377-001,4,50,530125307303,2,288.900421142578
3378-001,4,50,530125307303,2,288.900421142578
3379-001,4,50,530125307303,2,288.900421142578
3380-001,4,50,530125307303,2,288.900421142578
3381-001,4,50,530125307303,2,288.900421142578
3385-001,4,50,530125307303,2,288.900421142578
3387-001,4,50,530125307303,2,288.900421142578
3394-001,4,50,530127305303,2,388.636932373047
3395-001,4,50,530127305303,2,388.636932373047
3396-001,4,50,530127305303,2,388.636932373047
3397-001,4,50,530127305303,2,388.636932373047
3398-001,4,50,530127305303,2,388.636932373047
3399-001,4,50,530127305303,2,388.636932373047
3400-001,4,50,530127305303,2,388.636932373047
3401-001,4,50,530127305303,2,388.636932373047
3413-001,4,50,530128304304,2,319.627258300781
3414-001,4,50,530128304304,2,319.627258300781
3415-001,4,50,530128304304,2,319.627258300781
3416-001,4,50,530128304304,2,319.627258300781
3417-001,4,50,530128304304,2,319.627258300781
3418-001,4,50,530128304304,2,319.627258300781
